payment_method_id,payment_method_name,credit_card,user_id
1,Credit Card,4581827096149120,7836
2,Debit Card,4247701577346700,5813
3,Debit Card,4274865265046930,27
4,Venmo,4957305780058550,8083
5,Venmo,4283963227356770,4642
6,Debit Card,4067276032423140,9723
7,PayPal,4487798501511210,4320
8,PayPal,4309108196286040,6458
9,Credit Card,4297813365658100,9779
10,Credit Card,4628733739835290,7568
11,PayPal,4902026276692050,995
12,Venmo,4816996501122770,7720
13,Venmo,4155228048082550,338
14,Debit Card,4224346031160290,7111
15,Venmo,4125669254692050,3976
16,PayPal,4993104385892560,2015
17,Credit Card,4693373701998510,5050
18,PayPal,4342518967318740,986
19,PayPal,4042071108942810,3595
20,Credit Card,4316924713281450,2481
21,Venmo,4056559801641740,14
22,PayPal,4974649612452710,1153
23,Debit Card,4519349785218130,298
24,Debit Card,4626877356661370,572
25,Debit Card,4162075282701140,7224
26,Debit Card,4506726913830250,4795
27,Credit Card,4463917097972530,5725
28,Venmo,4187640278995650,4753
29,Credit Card,4074766930676420,6739
30,Debit Card,4408231633681790,4396
31,Debit Card,4676859595947230,9321
32,Venmo,4382614838530440,7340
33,Venmo,4364975228861410,8997
34,PayPal,4568586328301170,5479
35,Debit Card,4430081287873710,2615
36,Venmo,4571717543350190,4560
37,Debit Card,4060575829279880,8511
38,Venmo,4925350177823480,7808
39,Credit Card,4543366552690060,1278
40,Debit Card,4901759499390680,1751
41,Venmo,4246258020555280,4010
42,Debit Card,4978550035351620,9714
43,Credit Card,4014029847804290,7201
44,Debit Card,4759996598552540,9019
45,Debit Card,4711803731010190,2911
46,Debit Card,4891983707579200,677
47,Credit Card,4927575706637850,8926
48,Credit Card,4121002412697210,2646
49,Debit Card,4306014107450020,9952
50,Venmo,4145026882958120,4267
51,Debit Card,4460801514538720,9020
52,Debit Card,4252836951339890,4083
53,Credit Card,4814063151002320,813
54,Credit Card,4117420691737870,2126
55,PayPal,4278032482937490,1199
56,Credit Card,4120554567918920,1449
57,PayPal,4243440641964840,1576
58,Credit Card,4564711840001130,9802
59,Venmo,4516686085567250,8380
60,Credit Card,4353414389798540,8112
61,Credit Card,4377279526652230,3999
62,PayPal,4673462933338200,6935
63,Venmo,4860121918071550,5206
64,PayPal,4826727207292290,9164
65,PayPal,4333746040921940,4766
66,Venmo,4273045490025670,7528
67,Credit Card,4903739334339450,5060
68,Venmo,4750092803499420,9370
69,Debit Card,4656302840804000,4079
70,PayPal,4824773981937360,887
71,Venmo,4134544648949660,2083
72,PayPal,4650852595633930,5513
73,Credit Card,4152039340295810,5287
74,Debit Card,4009334081865820,149
75,Venmo,4364915722973010,3314
76,Credit Card,4794901760904250,2003
77,Venmo,4293895043276820,2600
78,Venmo,4089903807400860,3302
79,Credit Card,4388051492830620,4699
80,PayPal,4396576520767650,1019
81,Venmo,4507485669021810,8342
82,Debit Card,4741061659138040,1050
83,Debit Card,4955599918945130,7413
84,PayPal,4435151501088700,7569
85,Debit Card,4074373823695130,4718
86,Debit Card,4702520990859940,6991
87,Venmo,4917217328432430,7733
88,PayPal,4017553319207460,5376
89,PayPal,4701009007637570,7580
90,Debit Card,4441925168483790,8173
91,Venmo,4507318528340650,4500
92,PayPal,4005216121385320,1699
93,Debit Card,4026194812228690,1322
94,PayPal,4992383662405610,8287
95,Debit Card,4316035975788560,3121
96,Venmo,4057575328149260,7915
97,PayPal,4469823714180340,4684
98,Debit Card,4268124001510810,1519
99,PayPal,4439413312944280,4009
100,PayPal,4335516729751370,7945
101,PayPal,4861752649447370,6992
102,Venmo,4455580478418220,2380
103,Debit Card,4668117001274330,6384
104,PayPal,4855167312543450,8487
105,Credit Card,4232075737244610,3167
106,PayPal,4527435220491280,5730
107,Venmo,4344456998277540,5412
108,Credit Card,4885735425420570,3403
109,PayPal,4992682726226100,3671
110,Debit Card,4533572890453590,1633
111,Venmo,4694265854789420,1853
112,Venmo,4844677850257580,9584
113,Credit Card,4494875169986720,2518
114,Venmo,4085605647094540,1693
115,Debit Card,4023192977120640,8536
116,Venmo,4859291466862020,3165
117,Venmo,4608944683104870,2434
118,Credit Card,4370569857023600,7082
119,Debit Card,4156228615697280,7285
120,Venmo,4535898186848450,3020
121,Debit Card,4539000848913790,1318
122,Venmo,4104592101465370,3605
123,Credit Card,4894780380698090,3236
124,Venmo,4506110959992020,3181
125,PayPal,4559968717530980,8248
126,Credit Card,4068766451357820,5811
127,Venmo,4067382419231460,885
128,Venmo,4004240490798600,6988
129,Credit Card,4743558941816210,478
130,PayPal,4257181097585600,457
131,Venmo,4958125352682060,7647
132,Debit Card,4070721179792610,3599
133,Debit Card,4026146406786470,5083
134,PayPal,4210977330219630,9398
135,Venmo,4511153070937910,6245
136,PayPal,4973506177198920,1823
137,Debit Card,4163875997713280,209
138,PayPal,4812519006558450,3376
139,Credit Card,4730080080148480,6803
140,Credit Card,4092700970041520,7143
141,Venmo,4218946729949340,1279
142,Debit Card,4670196583918720,1137
143,Credit Card,4117940868708770,3197
144,Venmo,4823275984863130,5275
145,PayPal,4225908544732110,6873
146,Venmo,4237084329029480,2762
147,PayPal,4836290841322930,5863
148,Credit Card,4016518222548590,9625
149,Debit Card,4597939048845870,7543
150,Venmo,4975615163561250,2212
151,PayPal,4501335998415900,5105
152,Venmo,4102952854835270,635
153,Venmo,4650449626833060,8343
154,PayPal,4205632976624920,1679
155,Credit Card,4180476125062560,4708
156,Venmo,4317785888053780,2126
157,Credit Card,4343003962310350,2454
158,PayPal,4754626861787240,9537
159,PayPal,4204404753667720,5586
160,Credit Card,4384488810988550,3504
