vendor_id,vendor_name,vendor_description,business_domain,thumbnail_profile,email,password,phone_number,is_verified
1,BrighterDaysCo,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia,HealthCare,https://m.media-amazon.com/images/brighterdaysco,brigh@gmail.com,jWqOTx,09919476589,1
2,SimplyLuxeHome,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper,Construction,https://m.media-amazon.com/images/simplyluxehome,simpl@yahoo.com,fzeF7rzQfT,09870267472,0
3,BellaVitaCo.,erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla,Agriculture,https://m.media-amazon.com/images/bellavitaco.,bella@yahoo.com,5j0DS84AUNG,09680228285,1
4,BumbleandCo.,dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse,Nonprofit,https://m.media-amazon.com/images/bumbleandco.,bumbl@xyz.com,0DTfh4uCP,09606968116,1
5,BlueLotusWellness,ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,Energy,https://m.media-amazon.com/images/bluelotuswellness,bluel@gmail.com,axhi5KkJM6,09277245527,0
6,SavvyLivingCo.,leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam,Education,https://m.media-amazon.com/images/savvylivingco.,savvy@hotmail.com,R776BzFvH,09896183388,1
7,SustainLifeCo.,massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis,Education,https://m.media-amazon.com/images/sustainlifeco.,susta@abc.com,bt4FZ0sCGWH,09580223045,0
8,HarvestHealthCo.,lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus,Agriculture,https://m.media-amazon.com/images/harvesthealthco.,harve@gmail.com,mQzv0xyH,09670249627,1
9,EcoHavenCo.,nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam,Construction,https://m.media-amazon.com/images/ecohavenco.,ecoha@hotmail.com,ab3gAkTyi,09608441484,0
10,SolaceEssentials,sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate,Real estate,https://m.media-amazon.com/images/solaceessentials,solac@gmail.com,bN5RdDYSB,09250944707,1
11,GracefulGourmet,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit,Entertainment,https://m.media-amazon.com/images/gracefulgourmet,grace@yahoo.com,GLNT7DWvE,09652141312,0
