user_id,first_name,last_name,is_prime_member,email,password,created_at,modified_at,pin,currency,birthdate
1,Mohamed,Bailey,0,mohamed.Baile@def.com,eaByKRr79,2017-04-01 17:41:27,2018-07-05 07:32:23,430605,USD,2018-02-27
2,Cynthia,Hogan,0,cynthia.Hogan@gmail.com,vglN5mJwHr,2021-03-13 02:36:46,2018-11-27 11:51:25,757740,THB,2022-02-24
3,Kenneth,Pitts,0,kenneth.Pitts@abc.com,9Bky5vHzNwSp,2017-07-01 18:56:57,2020-02-15 11:22:38,809296,USD,2018-05-27
4,Amber,Williams,0,amber.Willi@abc.com,ehFv8uya,2022-08-10 20:18:06,2018-03-11 11:43:42,788748,CNY,2018-11-14
5,Kim,Smith,0,kim.Smith@def.com,oxZ2OeT,2017-08-21 17:56:32,2017-02-15 17:59:15,197583,USD,2020-02-21
6,Nicole,Lin,0,nicole.Lin@hotmail.com,JgNUjeQTT4cR,2020-10-14 04:50:39,2016-10-18 09:37:33,330954,CNY,2019-03-02
7,Vanessa,Chapman,1,vanessa.Chapm@gmail.com,AKoXpnpI,2020-01-11 03:46:43,2016-09-15 19:56:45,345724,CNY,2016-05-08
8,David,Cline,0,david.Cline@def.com,q5Q8A5DcT,2021-01-13 05:58:58,2019-10-23 00:24:14,441085,CNY,2019-10-14
9,Thomas,May,0,thomas.May@yahoo.com,fz7xQx3TgG,2017-01-01 18:41:22,2017-04-15 10:28:18,645656,CNY,2020-04-29
10,Michael,Ballard,0,michael.Balla@gmail.com,x8OonYIVze,2019-10-23 05:40:02,2018-05-13 05:30:39,278240,LYD,2016-03-15
11,Kimberly,Stokes,0,kimberly.Stoke@gmail.com,p0XSn4,2016-01-26 13:08:41,2018-02-10 00:15:46,551360,LYD,2021-12-19
12,Brittney,Sullivan,1,brittney.Sulli@def.com,jO4RR9gGR,2021-03-31 14:04:12,2022-10-25 16:45:44,307367,CNY,2019-03-08
13,Christina,Avila,1,christina.Avila@hotmail.com,2evxwvKg,2019-03-31 14:22:23,2022-02-15 09:26:25,483525,NAD,2021-03-23
14,John,Garrett,1,john.Garre@yahoo.com,DBznJwZ3yrO,2020-08-30 23:24:04,2022-05-16 14:54:41,764362,CNY,2018-09-20
